attribute,group,n,base_rate,flag_rate,recall,precision,roc_auc
race,Caucasian,14813,0.11719435630864782,0.19773172213596166,0.40380184331797236,0.2393308296346876,0.6838715227671336
race,AfricanAmerican,3697,0.10792534487422234,0.20232621044089802,0.40100250626566414,0.21390374331550802,0.6700939735633809
race,Unknown,447,0.07158836689038031,0.14093959731543623,0.3125,0.15873015873015872,0.6580572289156627
race,Hispanic,398,0.09045226130653267,0.16834170854271358,0.4722222222222222,0.2537313432835821,0.8007213014119091
race,Other,302,0.10264900662251655,0.1291390728476821,0.3225806451612903,0.2564102564102564,0.6844423282942507
gender,Female,10726,0.11448815961215737,0.20054074212194667,0.4234527687296417,0.24174802417480243,0.6935620939913288
gender,Male,9047,0.11230242069194209,0.18956560185696916,0.375,0.22215743440233235,0.6728807759694961
age_mid,60-75,9277,0.1142610757788078,0.20793359922388704,0.39716981132075474,0.21824779678589942,0.673093747201499
age_mid,40-60,5376,0.10416666666666667,0.14787946428571427,0.3964285714285714,0.2792452830188679,0.711797727812055
age_mid,75+,3831,0.12190028713129732,0.22996606630122685,0.3576017130620985,0.18955732122587968,0.6133528709321777
age_mid,<40,1289,0.12179984484096198,0.20248254460822343,0.5796178343949044,0.3486590038314176,0.7837264522518061
