feature,importance_mean,importance_std
number_inpatient,0.035966756891908716,0.0034042939975137934
discharge_group,0.03275283381006208,0.0011132620153413587
prior_encounters,0.010662701387173745,0.003038556979671224
payer_code,0.010121968410107119,0.003934536998469567
diag_1_group,0.009581484048046407,0.00137911301897696
diag_3_group,0.005269009676701936,0.0012609310815751157
age_mid,0.00458774002266335,0.0011438779421948247
procedures_per_day,0.004144490999870532,0.0011632293377293456
diag_2_group,0.0036729820274658876,0.0014961108212929494
has_prior_inpatient,0.0033823005396688144,0.0016578847575156742
prior_visits_total,0.0026344744205704707,0.002084836260719327
A1Cresult,0.0025121878619313643,0.00045847117219583133
num_lab_procedures,0.002342297101295321,0.0015192980702254362
number_outpatient,0.002046906242037272,0.0007660683041295121
metformin,0.0017889260806370822,0.0009621605429665664
num_medications,0.0017061774070248614,0.0014068780311784791
n_meds_active,0.001534192674036844,0.0014152326929984594
num_procedures,0.0014228190282874974,0.0009544055075072496
admission_source_group,0.0013149153212828834,0.0006610635911804585
race,0.0009829060731643524,0.0003592713895631826
insulin,0.000975178341663363,0.0006188679776296041
medical_specialty,0.0009702987067796654,0.0010348830780748132
number_emergency,0.0009634317069942445,0.00047996806049461604
diabetesMed,0.0009425610607364021,0.00046176434088050235
number_diagnoses,0.0009180897150151413,0.0018845948564223944
change,0.0007928058443903263,0.00022350896918751955
gender,0.0007840731416522584,0.0006363158310695502
has_prior_emergency,0.000663861546309874,0.00011258075042803582
max_glu_serum,0.000654699040286455,0.00017095649780017643
admission_type_group,0.0006390820088938264,0.0005752454205555466
n_med_changes,0.0005131431951252319,0.00024313341885905395
n_meds_decreased,0.0005004977581508308,0.00011156374303687163
glipizide,0.0003973113689155816,0.0004792425397522129
pioglitazone,0.00038213701427299853,0.0003056322574371507
time_in_hospital,0.0002880497705135598,0.0009913678067465389
n_meds_increased,0.00017613870137467847,0.0002467790861875579
meds_per_day,7.413051186465069e-05,0.0012504533202044139
glyburide,-7.569042271069471e-05,0.0005965774996011082
rosiglitazone,-0.0005326934048872911,0.0005939686867121396
