attribute,group,n,observed_rate,predicted_mean,calibration_ratio,calibration_slope,brier
race,AfricanAmerican,3697,0.10792534487422234,0.1138593507692828,1.05498250574947,0.9377640467057082,0.09285925353016118
race,Caucasian,14813,0.11719435630864782,0.11392486727425809,0.9721019924732632,1.0691625180582027,0.09777102771383839
race,Hispanic,398,0.09045226130653267,0.10515681476402534,1.1625670076689467,1.6689836479601066,0.07354104896153864
race,Other,302,0.10264900662251655,0.0977534766240857,0.9523080625959317,1.0702280219119198,0.08695698726803981
race,Unknown,447,0.07158836689038031,0.0960551697712416,1.341770652742031,0.8622714973245318,0.06604488019105685
gender,Female,10726,0.11448815961215737,0.11435518517643671,0.9988385311094953,1.123268140280056,0.09554645722589618
gender,Male,9047,0.11230242069194209,0.11140077767484347,0.9919712949058157,0.980348356915062,0.095127813038096
age_band,40-60,5376,0.10416666666666667,0.09828517468662953,0.9435376769916435,1.1227372483275753,0.08638414458795414
age_band,60-80,9277,0.1142610757788078,0.11649328719013542,1.0195360615687608,1.0394923817646995,0.09701593132334772
age_band,80+,3831,0.12190028713129732,0.1262872657471483,1.0359882549835655,0.7881122372214029,0.10520848213731068
age_band,<40,1289,0.12179984484096198,0.1097910879528606,0.9014058112817663,1.2841042605659017,0.09152907176186309
