feature,<40,40-60,60-80,80+,<40_signal,40-60_signal,60-80_signal,80+_signal
number_inpatient,0.7097609368950832,0.6354511735989945,0.5915734511357503,0.5739112437821633,0.20976093689508324,0.1354511735989945,0.09157345113575033,0.0739112437821633
prior_visits_total,0.7090888071579129,0.6311946668573762,0.5882706978606854,0.5732616396813095,0.2090888071579129,0.13119466685737624,0.08827069786068542,0.0732616396813095
has_prior_inpatient,0.6832171893147504,0.6179504829296919,0.5785691838701714,0.5641275741895271,0.1832171893147504,0.1179504829296919,0.07856918387017142,0.06412757418952708
prior_encounters,0.669259846597245,0.6238226660031017,0.5766441992607751,0.5662195955663591,0.16925984659724502,0.12382266600310166,0.07664419926077515,0.06621959556635915
number_emergency,0.6054670826012291,0.5458901747638254,0.524646031027147,0.5166861376775276,0.10546708260122906,0.0458901747638254,0.02464603102714702,0.01668613767752758
has_prior_emergency,0.5987894219601537,0.5443876383910247,0.524053026226827,0.516311144331527,0.09878942196015372,0.044387638391024664,0.024053026226827035,0.016311144331527028
number_diagnoses,0.5866449682506593,0.5742984073459783,0.5368103697257284,0.5088841357438002,0.08664496825065926,0.07429840734597826,0.036810369725728376,0.008884135743800203
num_medications,0.5692519051258891,0.5613554850408866,0.5354866323085418,0.5321488477168451,0.06925190512588908,0.061355485040886615,0.035486632308541766,0.03214884771684512
n_med_changes,0.5576970643027553,0.5305703458930648,0.5189707017667903,0.5292704894610916,0.05769706430275534,0.030570345893064843,0.018970701766790277,0.029270489461091564
time_in_hospital,0.5352684051871045,0.5664938564720612,0.546554739514201,0.5247398858813426,0.0352684051871045,0.06649385647206119,0.04655473951420097,0.02473988588134257
num_lab_procedures,0.5334429008209496,0.5248503917221569,0.5254683811274851,0.5053815257174513,0.033442900820949584,0.02485039172215686,0.025468381127485062,0.005381525717451319
n_meds_decreased,0.5324727590987753,0.524509624795126,0.5121177511220673,0.520260737264719,0.03247275909877534,0.024509624795125973,0.012117751122067255,0.020260737264718998
number_outpatient,0.5294649268226505,0.5204690501778596,0.5187838245044369,0.5132163632627201,0.02946492682265045,0.020469050177859605,0.01878382450443694,0.013216363262720132
meds_per_day,0.5275037556541622,0.47542945180450824,0.4745917913160797,0.501210238108138,0.027503755654162187,0.02457054819549176,0.025408208683920297,0.0012102381081380287
n_meds_increased,0.5261646664085687,0.5074832182054551,0.5071863979840017,0.5110112633848062,0.026164666408568737,0.0074832182054550556,0.007186397984001669,0.01101126338480618
age_mid,0.5241600653186019,0.4816153016069573,0.5120241616952207,0.4951433307022721,0.02416006531860193,0.018384698393042687,0.012024161695220692,0.004856669297727878
procedures_per_day,0.49144699398764435,0.45895608273924343,0.4711596321569307,0.4866229732549502,0.008553006012355646,0.04104391726075657,0.028840367843069314,0.013377026745049814
n_meds_active,0.507206264828216,0.49395773348786043,0.4979324422274778,0.5300163099991329,0.007206264828215958,0.006042266512139571,0.0020675577725222105,0.03001630999913285
num_procedures,0.49567107087432294,0.5000429831427706,0.49505456486630184,0.5024812112379851,0.004328929125677061,4.2983142770625093e-05,0.004945435133698162,0.0024812112379850593
